Change Component Designator: OldDesignator=C21 NewDesignator=C21、
Added Member To Class: ClassName=Sheet1 Member=Component P15 Header 4X2
Added Member To Class: ClassName=Sheet1 Member=Component P16 Header 4
Added Member To Class: ClassName=Sheet1 Member=Component P17 Header 3
Added Member To Class: ClassName=Sheet1 Member=Component P18 Header 3
Added Member To Class: ClassName=Sheet1 Member=Component Q1 HY19P03
Added Member To Class: ClassName=Sheet1 Member=Component Q2 S8050
Added Member To Class: ClassName=Sheet1 Member=Component R1 4.7K ±1%
Added Member To Class: ClassName=Sheet1 Member=Component R2 1K ±1%
Added Member To Class: ClassName=Sheet1 Member=Component R3 200K ±1%
Added Member To Class: ClassName=Sheet1 Member=Component R4 20K ±1%
Added Member To Class: ClassName=Sheet1 Member=Component R5 15K ±1%
Added Member To Class: ClassName=Sheet1 Member=Component R6 10K
Added Member To Class: ClassName=Sheet1 Member=Component R7 3.3K ±1%
Added Member To Class: ClassName=Sheet1 Member=Component R8 10K ±1%
Added Member To Class: ClassName=Sheet1 Member=Component R9 100R ±1%
Added Member To Class: ClassName=Sheet1 Member=Component R10 2.7K ±1%
Added Member To Class: ClassName=Sheet1 Member=Component R11 2.7K ±1%
Added Member To Class: ClassName=Sheet1 Member=Component R12 2.7K ±1%
Added Member To Class: ClassName=Sheet1 Member=Component R13 2.7K ±1%
Added Member To Class: ClassName=Sheet1 Member=Component R14 4.7K ±1%
Added Member To Class: ClassName=Sheet1 Member=Component R15 4.7K ±1%
Added Member To Class: ClassName=Sheet1 Member=Component R16 4.7K ±1%
Added Member To Class: ClassName=Sheet1 Member=Component R17 4.7K ±1%
Added Member To Class: ClassName=Sheet1 Member=Component R18 4.7K ±1%
Added Member To Class: ClassName=Sheet1 Member=Component R19 4.7K ±1%
Added Member To Class: ClassName=Sheet1 Member=Component R20 30K ±1%
Added Member To Class: ClassName=Sheet1 Member=Component R21 10K ±1%
Added Member To Class: ClassName=Sheet1 Member=Component R22 10R ±1%
Added Member To Class: ClassName=Sheet1 Member=Component R23 4.7K ±1%
Added Member To Class: ClassName=Sheet1 Member=Component R24 10K ±1%
Added Member To Class: ClassName=Sheet1 Member=Component R25 100R ±1%
Added Member To Class: ClassName=Sheet1 Member=Component R26 100R ±1%
Added Member To Class: ClassName=Sheet1 Member=Component R27 100R ±1%
Added Member To Class: ClassName=Sheet1 Member=Component R28 100R ±1%
Added Member To Class: ClassName=Sheet1 Member=Component R29 100R ±1%
Added Member To Class: ClassName=Sheet1 Member=Component R30 100R ±1%
Added Member To Class: ClassName=Sheet1 Member=Component R31 100R ±1%
Added Member To Class: ClassName=Sheet1 Member=Component R32 100R ±1%
Added Member To Class: ClassName=Sheet1 Member=Component R33 470R ±1%
Added Member To Class: ClassName=Sheet1 Member=Component R34 470R ±1%
Added Member To Class: ClassName=Sheet1 Member=Component R35 470R ±1%
Added Member To Class: ClassName=Sheet1 Member=Component R36 470R ±1%
Added Member To Class: ClassName=Sheet1 Member=Component R37 470R ±1%
Added Member To Class: ClassName=Sheet1 Member=Component R38 470R ±1%
Added Member To Class: ClassName=Sheet1 Member=Component R39 100R ±1%
Added Member To Class: ClassName=Sheet1 Member=Component R40 100R ±1%
Added Member To Class: ClassName=Sheet1 Member=Component R41 100R ±1%
Added Member To Class: ClassName=Sheet1 Member=Component R42 100R ±1%
Added Member To Class: ClassName=Sheet1 Member=Component R43 100R ±1%
Added Member To Class: ClassName=Sheet1 Member=Component R44 100R ±1%
Added Member To Class: ClassName=Sheet1 Member=Component R45 100R ±1%
Added Member To Class: ClassName=Sheet1 Member=Component R46 100R ±1%
Added Member To Class: ClassName=Sheet1 Member=Component S1 Button
Added Member To Class: ClassName=Sheet1 Member=Component S2 Button
Added Member To Class: ClassName=Sheet1 Member=Component S3 Button
Added Member To Class: ClassName=Sheet1 Member=Component S4 Button
Added Member To Class: ClassName=Sheet1 Member=Component S5 SW DIP-2
Added Member To Class: ClassName=Sheet1 Member=Component U1 TC264_CoreBoard
Added Member To Class: ClassName=Sheet1 Member=Component U2 SCT2450
Added Member To Class: ClassName=Sheet1 Member=Component U3 SPX2940-5.0
Added Member To Class: ClassName=Sheet1 Member=Component U4 RT9013-33
Added Member To Class: ClassName=Sheet1 Member=Component U5 RT9013-33
Added Member To Class: ClassName=Sheet1 Member=Component U6 RT9013-33
Added Member To Class: ClassName=Sheet1 Member=Component 电磁运放模块1 OPA_MOD
Added Member To Class: ClassName=Sheet1 Member=Component 电磁运放模块2 OPA_MOD
Added Room: Name=Sheet1
